No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
35,2017년 11월,89.85,0.3,87.44,0.41,85.53,0.29,85.86,0.64,88.6,0.41,87.72,0.21,89.99,0.18,87.34,0.29,88.85,0.22,88.87,0.22,86.93,0.11,90.12,0.21,89.31,0.27,83.83,0.37,87.25,0.59,89.45,0.38,89.02,0.32,91.36,0.27,85.34,0.51,86.16,0.53,90.68,0.3,86.75,0.34,85.97,0.58,85.55,0.64,85.87,0.28
36,2017년 12월,90.16,0.35,87.82,0.43,85.83,0.35,86.96,1.29,89.37,0.87,87.91,0.22,90.2,0.23,87.67,0.39,89.11,0.29,89.03,0.18,87.07,0.16,90.28,0.18,89.56,0.29,84.13,0.36,88.42,1.34,89.66,0.23,89.24,0.26,91.48,0.13,86,0.77,86.51,0.41,90.79,0.12,87.69,1.08,87.14,1.36,86.83,1.5,86.67,0.93
37,2018년 1월,90.46,0.33,88.2,0.43,86.63,0.93,88.04,1.24,90.19,0.92,88.19,0.32,90.48,0.32,87.95,0.32,89.34,0.26,89.25,0.24,87.25,0.21,90.5,0.25,89.79,0.26,84.87,0.88,89.76,1.52,89.92,0.28,89.59,0.38,91.59,0.12,86.45,0.52,87.08,0.66,90.98,0.21,89.27,1.8,89.51,2.72,88.96,2.45,87.81,1.32
38,2018년 2월,90.97,0.56,88.99,0.9,88.19,1.8,89.37,1.52,90.95,0.84,88.57,0.43,90.72,0.26,88.56,0.69,89.54,0.23,89.46,0.24,87.51,0.3,90.83,0.36,90.34,0.61,86.21,1.58,90.69,1.03,90.63,0.79,90.11,0.59,91.71,0.13,87.14,0.81,87.75,0.77,91.3,0.35,91.02,1.95,91.23,1.93,90.39,1.6,89.81,2.28
39,2018년 3월,91.36,0.44,89.72,0.82,89.05,0.97,90.16,0.88,91.53,0.63,88.92,0.4,90.97,0.28,89.33,0.87,89.71,0.2,89.64,0.2,87.75,0.28,91.09,0.3,90.88,0.6,87.32,1.29,90.95,0.28,91.19,0.62,90.37,0.29,91.84,0.15,87.58,0.5,88.3,0.62,91.51,0.23,91.42,0.44,91.94,0.77,91.12,0.81,90.58,0.86
40,2018년 4월,91.73,0.4,90.17,0.5,89.43,0.43,90.33,0.19,91.83,0.33,89.26,0.38,91.14,0.18,89.72,0.44,89.88,0.18,89.77,0.15,87.77,0.02,91.31,0.24,91.36,0.52,87.93,0.69,90.9,-0.06,91.89,0.77,90.82,0.49,91.93,0.09,87.97,0.44,88.96,0.75,91.65,0.15,91.52,0.11,92.12,0.2,91.3,0.2,90.86,0.3
41,2018년 5월,92.03,0.34,90.6,0.48,89.78,0.39,90.3,-0.03,92.05,0.24,89.56,0.34,91.33,0.21,90.21,0.54,90.11,0.26,89.9,0.15,87.75,-0.02,91.57,0.28,91.81,0.5,88.46,0.6,90.86,-0.04,92.26,0.41,91.17,0.39,92.1,0.19,88.27,0.34,89.62,0.75,91.91,0.29,91.47,-0.06,91.99,-0.14,91.15,-0.16,90.82,-0.04
42,2018년 6월,92.38,0.37,91.06,0.51,90.08,0.33,90.46,0.18,92.08,0.04,89.99,0.47,91.73,0.45,90.65,0.49,90.42,0.34,90.11,0.23,87.83,0.09,91.9,0.36,92.37,0.6,88.98,0.59,90.85,-0.02,92.5,0.26,91.65,0.52,92.37,0.29,88.59,0.37,90.08,0.51,92.22,0.33,91.38,-0.1,91.74,-0.27,90.93,-0.25,91.01,0.21
43,2018년 7월,92.84,0.5,91.56,0.55,90.53,0.5,90.88,0.46,92.14,0.07,90.45,0.52,92.15,0.45,91.03,0.42,90.76,0.37,90.32,0.23,87.95,0.13,92.29,0.42,92.78,0.45,89.48,0.56,91.2,0.39,92.82,0.34,92.1,0.49,92.74,0.4,89.34,0.85,90.58,0.56,92.6,0.42,91.43,0.05,91.56,-0.2,90.85,-0.08,91.23,0.24
44,2018년 8월,93.32,0.52,92.39,0.91,91.68,1.27,91.58,0.78,92.28,0.15,91.15,0.77,92.42,0.3,91.59,0.61,91.21,0.5,90.7,0.42,88.37,0.48,93.03,0.81,93.3,0.56,90.53,1.17,91.91,0.77,93.37,0.59,92.43,0.37,93.1,0.39,90.36,1.14,91.41,0.91,92.93,0.35,91.9,0.52,92.16,0.66,91.41,0.61,91.72,0.53
45,2018년 9월,93.98,0.7,93.36,1.05,92.73,1.15,92.89,1.43,92.8,0.57,92.13,1.07,93.16,0.79,92.61,1.12,92.1,0.97,91.79,1.2,89.57,1.35,93.87,0.9,94.04,0.78,91.53,1.1,93.13,1.33,94.55,1.26,93.13,0.75,93.81,0.76,91.86,1.66,92.8,1.52,93.65,0.78,93.65,1.9,93.83,1.8,92.82,1.55,93.71,2.18
46,2018년 10월,94.54,0.6,93.99,0.68,93.4,0.72,93.3,0.43,93.08,0.3,92.67,0.59,93.52,0.4,93.18,0.61,92.66,0.61,92.37,0.62,90.19,0.69,94.38,0.54,94.53,0.53,92.14,0.67,93.45,0.35,94.98,0.46,93.49,0.39,94.32,0.55,92.31,0.49,93.18,0.42,93.93,0.3,94.13,0.51,94.29,0.49,93.24,0.45,94.25,0.57
47,2018년 11월,94.95,0.43,94.41,0.45,93.72,0.34,93.68,0.41,93.42,0.36,93.07,0.43,93.8,0.3,93.58,0.43,93.07,0.45,92.65,0.31,90.47,0.32,94.62,0.25,94.76,0.24,92.31,0.18,93.62,0.18,95.13,0.15,93.64,0.16,94.48,0.16,92.57,0.28,93.17,-0.01,94.07,0.15,94.1,-0.03,94.24,-0.06,93.17,-0.08,94.43,0.18
48,2018년 12월,95.44,0.51,94.78,0.4,93.88,0.16,93.86,0.19,93.58,0.17,93.18,0.11,93.94,0.15,93.85,0.29,93.28,0.22,92.7,0.06,90.45,-0.03,94.78,0.17,94.88,0.13,92.42,0.13,93.62,0,95.13,0,93.68,0.04,94.57,0.09,92.66,0.09,93.13,-0.05,94.13,0.07,93.92,-0.19,93.94,-0.32,92.95,-0.23,94.4,-0.03
49,2019년 1월,95.4,-0.04,94.75,-0.04,93.78,-0.1,93.8,-0.06,93.61,0.03,93.09,-0.09,93.92,-0.02,93.84,-0.01,93.28,-0.01,92.69,-0.01,90.11,-0.37,94.73,-0.05,94.83,-0.05,92.22,-0.22,93.32,-0.31,94.97,-0.17,93.58,-0.11,94.55,-0.02,92.59,-0.07,92.98,-0.16,94.02,-0.12,93.56,-0.39,93.14,-0.85,92.52,-0.47,94.15,-0.26
