No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
34,2023년 10월,98.53,0.21,94.35,0.29,100.89,0.39,98.62,0.48,97.26,0.21,95.69,0.45,96.06,0.19,94.16,0.22,95.95,0.04,91.76,0.1,90.83,0.05,95.74,0.08,94.66,0.17,97.49,0.26,97.99,0.39,94.14,0.31,95.52,0.26,94.15,0.24,95.79,0.45,98.33,0.14,95.8,0.28,103.27,0.14,101.61,0.24,100.55,0.37,97.87,0.39
35,2023년 11월,98.7,0.17,94.47,0.13,101.16,0.27,98.9,0.28,97.37,0.11,95.91,0.23,96.13,0.06,94.26,0.11,95.93,-0.02,91.75,-0.02,90.76,-0.08,95.79,0.05,94.75,0.09,97.56,0.07,98.22,0.23,94.29,0.16,95.5,-0.01,94.29,0.15,96.03,0.25,98.36,0.03,95.86,0.06,103.27,0,101.57,-0.04,100.69,0.14,98.09,0.22
36,2023년 12월,98.75,0.05,94.48,0.01,101.21,0.05,99.03,0.13,97.35,-0.02,95.9,-0.01,96.06,-0.07,94.23,-0.02,95.86,-0.07,91.62,-0.14,90.56,-0.22,95.77,-0.02,94.68,-0.07,97.43,-0.13,98.2,-0.02,94.2,-0.1,95.25,-0.26,94.24,-0.06,96.1,0.07,98.24,-0.13,95.78,-0.08,103.14,-0.13,101.46,-0.11,100.67,-0.02,98.06,-0.03
37,2024년 1월,98.74,-0.01,94.45,-0.03,101.2,-0.01,98.94,-0.09,97.34,-0.01,95.82,-0.09,95.96,-0.1,94.12,-0.12,95.79,-0.07,91.46,-0.17,90.36,-0.22,95.71,-0.06,94.62,-0.07,97.35,-0.08,98.12,-0.08,94.01,-0.19,95.12,-0.13,94.15,-0.09,96.03,-0.07,98.17,-0.07,95.71,-0.07,102.96,-0.17,101.39,-0.07,100.34,-0.33,97.97,-0.08
38,2024년 2월,98.74,-0.01,94.43,-0.02,101.2,0,98.78,-0.16,97.32,-0.02,95.73,-0.09,95.87,-0.1,94.06,-0.07,95.72,-0.08,91.27,-0.21,90.21,-0.16,95.63,-0.08,94.52,-0.11,97.26,-0.1,98.06,-0.06,93.85,-0.17,95.03,-0.09,94.06,-0.1,95.99,-0.05,98.16,-0.01,95.58,-0.14,102.83,-0.12,101.3,-0.09,100.34,0,97.91,-0.06
39,2024년 3월,98.78,0.05,94.47,0.04,101.28,0.08,98.78,0.01,97.4,0.07,95.74,0.01,95.86,-0.01,94.08,0.02,95.66,-0.06,91.17,-0.11,90.11,-0.11,95.62,-0.01,94.51,-0.01,97.33,0.07,98.08,0.02,93.82,-0.03,94.93,-0.11,94.01,-0.05,96.03,0.05,98.22,0.06,95.49,-0.09,102.83,0,101.28,-0.02,100.49,0.14,97.89,-0.02
40,2024년 4월,98.86,0.07,94.56,0.1,101.5,0.22,99.03,0.25,97.52,0.13,95.78,0.04,95.85,-0.01,94.2,0.12,95.66,-0.01,91.09,-0.08,90.07,-0.04,95.68,0.06,94.6,0.1,97.53,0.21,98.24,0.17,93.86,0.04,94.93,0,94,-0.01,96.16,0.13,98.35,0.13,95.49,0,103.04,0.2,101.39,0.11,100.69,0.2,97.96,0.07
41,2024년 5월,99.01,0.16,94.71,0.16,101.81,0.3,99.56,0.53,97.67,0.15,95.88,0.11,95.91,0.06,94.34,0.15,95.68,0.02,91.06,-0.04,90.06,-0.02,95.74,0.06,94.72,0.12,97.77,0.24,98.38,0.14,93.87,0.01,94.98,0.05,94.02,0.02,96.38,0.22,98.52,0.18,95.51,0.02,103.29,0.24,101.63,0.23,100.98,0.28,98.11,0.15
42,2024년 6월,99.3,0.29,95.06,0.37,102.43,0.62,100.52,0.97,98.09,0.43,96.26,0.4,96.2,0.3,94.66,0.35,95.77,0.1,91.09,0.04,90.19,0.15,96.03,0.31,95.15,0.46,98.3,0.54,98.69,0.31,94.06,0.2,95.27,0.31,94.21,0.2,96.84,0.48,98.77,0.25,95.73,0.23,104.07,0.76,102.09,0.46,101.65,0.67,98.42,0.32
43,2024년 7월,99.79,0.5,95.67,0.65,103.43,0.98,102.47,1.94,98.67,0.59,96.96,0.73,96.64,0.46,95.23,0.6,95.94,0.17,91.23,0.16,90.51,0.35,96.49,0.48,95.9,0.78,99.32,1.04,99.22,0.53,94.38,0.34,95.83,0.58,94.47,0.27,97.76,0.95,99.63,0.87,96.03,0.31,105.69,1.56,103.22,1.11,103.22,1.54,99.39,0.99
44,2024년 8월,100.22,0.42,96.25,0.6,104.45,0.99,104.52,2,99.38,0.72,97.65,0.71,97.16,0.53,95.84,0.64,96.25,0.33,91.47,0.27,91.03,0.58,96.86,0.39,96.55,0.68,100.37,1.05,99.85,0.63,94.84,0.48,96.4,0.6,94.78,0.33,98.83,1.09,100.49,0.86,96.34,0.32,107.68,1.89,104.62,1.36,104.86,1.59,100.25,0.86
45,2024년 9월,100.53,0.32,96.67,0.44,105.21,0.72,105.47,0.91,100.03,0.65,98.12,0.48,97.5,0.35,96.33,0.52,96.53,0.29,91.72,0.27,91.5,0.52,97.19,0.34,96.99,0.46,101.07,0.7,100.27,0.43,95.12,0.3,96.75,0.36,95.03,0.26,99.43,0.61,100.89,0.4,96.54,0.2,108.93,1.16,105.74,1.07,105.8,0.89,100.69,0.44
46,2024년 10월,100.75,0.22,96.99,0.33,105.77,0.53,106.05,0.55,100.41,0.38,98.41,0.3,97.86,0.37,96.63,0.31,96.66,0.14,91.81,0.1,91.71,0.23,97.46,0.27,97.36,0.38,101.58,0.5,100.58,0.31,95.31,0.2,96.87,0.13,95.15,0.13,99.87,0.43,101.11,0.22,96.66,0.12,109.6,0.61,106.6,0.81,106.15,0.33,100.96,0.27
