연도,구,ARS-ID,정류소명,노선수,X좌표,Y좌표
2020,종로구,1809,감람산기도원,2,126.9798729651,37.6159439291
2020,종로구,1810,카센터.터널앞,1,126.9658895166,37.57409862
2020,종로구,1812,재동초등학교,2,126.9853617134,37.578791085
2020,종로구,1814,삼청공원삼거리.옥호정터,1,126.9817444742,37.5874185176
2020,종로구,1815,이화사거리,1,127.0022812884,37.5753200672
2020,종로구,1816,연화정사,2,126.9794938432,37.6146490046
2020,종로구,1817,대신중고,1,126.9616893251,37.5726178078
2020,종로구,1819,현대사거리,1,126.9866353642,37.5792417814
2020,종로구,1820,교남동주민센터,1,126.9613278115,37.5721819807
2020,종로구,1821,부암동주민센터.무계원,1,126.9637682263,37.5929353403
2020,종로구,1823,형제봉입구,2,126.9816861503,37.6128643152
2020,종로구,1824,교남동새마을금고,1,126.962337459,37.5714943551
2020,종로구,1825,창신초교,1,127.0157200961,37.5760372123
2020,종로구,1826,가회동주민센터,1,126.9851293823,37.5799426497
2020,종로구,1827,볼링장,1,126.9879589184,37.5792554401
2020,종로구,1829,부암슈퍼,1,126.9637824182,37.5947643228
2020,종로구,1830,지구촌교회,2,126.9792421489,37.6131060324
2020,종로구,1831,월암공원,1,126.9646918774,37.5712260916
2020,종로구,1832,숭인1동주민센터,1,127.0155607478,37.5774150014
2020,종로구,1833,북촌한옥마을입구.정세권활동터,1,126.9851687446,37.5812807738
2020,종로구,1835,하림각,1,126.9629663842,37.5976847268
2020,종로구,1836,보현빌라,2,126.9784205906,37.6153822583
2020,종로구,1837,스위스대사관,1,126.9656960774,37.5701413179
2020,종로구,1839,안국선원.삼거리,1,126.9852205387,37.5827432497
2020,종로구,1840,세검정교회,1,126.9600291533,37.5993880238
2020,종로구,1841,혜화동로터리,1,127.0010032298,37.5859196111
2020,종로구,1842,김종영미술관,2,126.9781122953,37.6132637884
2020,종로구,1843,서울시교육청,1,126.9666998924,37.569381682
2020,종로구,1844,창신쌍용1단지.종로센트레빌아파트,1,127.0155692785,37.5803228198
2020,종로구,1845,사우디대사관,1,126.9852486243,37.583863308
2020,종로구,1846,상명대입구,1,126.9574023475,37.5998544708
2020,종로구,1847,혜화초등학교,1,126.9999909413,37.5873892922
2020,종로구,1848,북악파크,1,,
2020,종로구,1849,강북삼성병원,1,126.9683376852,37.5685315243
2020,종로구,1850,청룡사.보문파크뷰자이아파트,1,127.0171508787,37.5797846496
2020,종로구,1851,감사원,1,126.9855618026,37.5862656518
2020,종로구,1852,국민생활관,1,126.9993137839,37.5896275957
2020,종로구,1853,귀빈예식장,1,,
2020,종로구,1855,종로센트레빌후문.e편한세상보문아파트,1,127.0162353711,37.5818978359
2020,종로구,1856,통일부,1,126.9861073451,37.5875308468
2020,종로구,1858,서울국제고등학교,1,126.9971407875,37.5890742944
2020,종로구,1860,성대후문.와룡공원,1,126.989734001,37.5891522774
2020,종로구,1861,상명초등학교,1,126.9568173576,37.600904926
